Mass [Msun]          H-1               He-4            C-12             N-14              O-16             Si-28            Ni-56            
   1.651236E+00     5.719268E-09     2.991917E-10     7.282685E-07     1.325019E-14     7.017008E-06     1.025489E-01     4.429120E-01  
   1.651799E+00     6.112248E-09     3.232159E-10     8.180720E-07     1.504432E-14     7.968868E-06     1.133539E-01     4.246862E-01  
   1.652363E+00     6.499427E-09     3.503678E-10     9.121917E-07     1.695324E-14     8.995970E-06     1.245273E-01     4.060513E-01  
   1.653037E+00     6.999033E-09     3.899248E-10     1.042842E-06     1.965588E-14     1.047675E-05     1.398338E-01     3.808301E-01  
   1.653823E+00     7.505227E-09     4.381130E-10     1.187378E-06     2.270247E-14     1.219619E-05     1.564930E-01     3.537444E-01  
   1.654412E+00     7.763719E-09     4.660293E-10     1.265909E-06     2.438197E-14     1.316841E-05     1.654268E-01     3.393873E-01  
   1.654804E+00     7.996635E-09     4.934958E-10     1.341507E-06     2.602009E-14     1.413295E-05     1.739561E-01     3.257754E-01  
   1.655393E+00     8.384850E-09     5.455046E-10     1.479024E-06     2.904699E-14     1.596383E-05     1.892693E-01     3.015579E-01  
   1.655982E+00     8.601302E-09     5.785856E-10     1.561356E-06     3.087937E-14     1.710745E-05     1.982931E-01     2.874484E-01  
   1.656375E+00     8.789830E-09     6.106882E-10     1.640087E-06     3.265333E-14     1.823883E-05     2.068166E-01     2.742272E-01  
   1.656964E+00     9.091994E-09     6.707118E-10     1.784794E-06     3.596354E-14     2.041054E-05     2.220631E-01     2.509474E-01  
   1.657750E+00     9.382035E-09     7.402270E-10     1.959625E-06     4.004062E-14     2.315067E-05     2.392302E-01     2.259232E-01  
   1.658339E+00     9.505121E-09     7.809181E-10     2.045424E-06     4.205914E-14     2.461215E-05     2.478752E-01     2.130206E-01  
   1.658732E+00     9.598507E-09     8.202279E-10     2.126767E-06     4.399536E-14     2.605505E-05     2.559308E-01     2.010983E-01  
   1.659230E+00     9.695507E-09     8.782348E-10     2.243267E-06     4.679982E-14     2.822157E-05     2.672132E-01     1.845963E-01  
   1.659836E+00     9.750787E-09     9.434613E-10     2.369290E-06     4.986873E-14     3.070192E-05     2.790251E-01     1.675866E-01  
   1.660441E+00     9.749221E-09     1.010933E-09     2.496044E-06     5.299219E-14     3.335171E-05     2.904376E-01     1.514028E-01  
   1.661046E+00     9.686081E-09     1.080276E-09     2.624319E-06     5.619107E-14     3.619813E-05     3.014630E-01     1.360488E-01  
   1.661651E+00     9.555959E-09     1.150699E-09     2.754688E-06     5.948301E-14     3.926672E-05     3.120857E-01     1.215560E-01  
   1.662256E+00     9.354170E-09     1.220726E-09     2.888135E-06     6.289834E-14     4.259296E-05     3.223073E-01     1.079369E-01  
   1.662861E+00     9.076117E-09     1.289144E-09     3.025702E-06     6.647340E-14     4.621612E-05     3.321240E-01     9.521069E-02  
   1.663466E+00     8.713462E-09     1.354004E-09     3.169370E-06     7.027463E-14     5.020342E-05     3.415875E-01     8.333284E-02  
   1.664225E+00     8.048159E-09     1.433375E-09     3.385141E-06     7.614299E-14     5.656653E-05     3.543336E-01     6.805505E-02  
   1.664909E+00     7.593911E-09     1.470477E-09     3.517607E-06     7.982171E-14     6.064578E-05     3.612716E-01     6.014854E-02  
   1.665365E+00     7.104219E-09     1.495815E-09     3.650973E-06     8.362907E-14     6.490436E-05     3.676972E-01     5.313349E-02  
   1.665821E+00     6.562229E-09     1.510867E-09     3.794636E-06     8.782216E-14     6.962169E-05     3.740417E-01     4.656570E-02  
   1.666277E+00     5.969923E-09     1.513021E-09     3.949799E-06     9.247108E-14     7.486558E-05     3.802739E-01     4.044226E-02  
   1.666962E+00     4.793597E-09     1.476052E-09     4.263901E-06     1.022766E-13     8.593286E-05     3.913263E-01     3.049053E-02  
   1.667767E+00     3.668134E-09     1.392001E-09     4.590922E-06     1.129800E-13     9.800141E-05     4.011423E-01     2.272555E-02  
   1.668467E+00     2.577374E-09     1.257021E-09     4.949660E-06     1.252787E-13     1.119300E-04     4.105693E-01     1.622781E-02  
   1.669166E+00     1.561771E-09     1.069248E-09     5.354278E-06     1.393754E-13     1.284795E-04     4.200698E-01     1.063360E-02  
   1.669690E+00     1.096686E-09     9.532606E-10     5.584633E-06     1.468727E-13     1.382199E-04     4.250831E-01     8.083082E-03  
   1.670040E+00     7.168611E-10     8.337759E-10     5.814968E-06     1.530943E-13     1.482151E-04     4.299051E-01     5.918044E-03  
   1.670467E+00     3.397637E-10     6.676932E-10     6.141795E-06     1.566767E-13     1.626371E-04     4.364473E-01     3.540402E-03  
   1.670971E+00     1.245916E-10     4.717288E-10     6.512034E-06     1.509277E-13     1.789938E-04     4.434791E-01     1.879615E-03  
   1.671475E+00     4.382631E-11     2.724067E-10     6.903186E-06     1.431759E-13     1.960776E-04     4.505267E-01     1.039962E-03  
   1.671980E+00     1.757860E-11     1.470193E-10     7.309590E-06     1.406811E-13     2.135830E-04     4.574481E-01     6.481951E-04  
   1.672534E+00     7.381067E-12     7.736647E-11     7.796540E-06     1.435077E-13     2.343993E-04     4.652863E-01     4.235244E-04  
   1.673139E+00     3.611861E-12     4.523372E-11     8.301998E-06     1.501411E-13     2.559967E-04     4.730074E-01     3.005933E-04  
   1.673744E+00     2.012182E-12     2.942865E-11     8.803132E-06     1.587589E-13     2.775705E-04     4.803373E-01     2.271130E-04  
   1.674349E+00     1.236587E-12     2.085024E-11     9.287770E-06     1.683117E-13     2.986969E-04     4.872091E-01     1.794400E-04  
   1.674803E+00     9.844211E-13     1.785507E-11     9.538648E-06     1.735450E-13     3.096585E-04     4.906838E-01     1.604607E-04  
   1.675106E+00     8.049619E-13     1.560716E-11     9.768003E-06     1.785198E-13     3.198579E-04     4.938318E-01     1.453008E-04  
   1.675559E+00     5.769193E-13     1.256672E-11     1.017054E-05     1.876413E-13     3.380361E-04     4.992895E-01     1.230575E-04  
   1.676164E+00     4.152552E-13     1.024400E-11     1.059859E-05     1.976984E-13     3.575958E-04     5.049678E-01     1.041770E-04  
   1.676769E+00     3.094608E-13     8.597963E-12     1.100592E-05     2.075718E-13     3.765167E-04     5.102510E-01     8.957957E-05  
   1.677298E+00     2.517610E-13     7.640408E-12     1.130907E-05     2.150532E-13     3.907418E-04     5.140561E-01     8.043202E-05  
